player,singles,doubles,triples,homeruns,strikes
mcglk001,0,0,0,0,1
carra001,0,0,0,0,1
petar001,27,8,1,3,41
frasj001,1,0,0,0,6
sveud001,43,19,1,4,81
dipoj001,1,0,0,0,3
edmob001,2,2,0,0,5
hidar001,13,5,2,2,18
stevd001,1,0,0,0,2
esasn001,6,0,0,0,14
maduc001,1,0,0,0,12
jeted001,9,4,1,10,11
ramoj001,7,1,0,0,3
surhb001,95,27,3,13,43
cresf001,6,8,1,1,5
armsj001,3,1,0,0,18
kellb002,118,23,2,7,83
stanm002,60,29,1,18,110
lowes001,1,0,0,0,1
haseb001,27,6,1,5,31
finlc001,0,0,0,0,2
taube001,50,14,2,9,53
bulle001,13,4,0,1,13
willb002,123,29,9,18,99
willb001,1,1,0,0,4
grifa001,79,6,2,1,51
schod001,7,9,3,4,5
mccuj001,0,0,0,0,1
melej001,1,1,0,0,14
cooks001,3,1,0,0,18
sierr001,80,33,5,19,79
hulet001,2,9,1,7,3
whitm001,61,13,1,12,88
whitm002,0,0,0,0,2
lusas001,1,2,0,2,3
gozzm001,3,1,0,0,3
mullr001,52,12,1,2,46
petrb001,13,3,0,4,13
ericj001,2,1,0,0,12
hendd001,128,33,1,25,119
daalo001,1,2,0,0,17
bogat001,34,7,4,1,27
schmj001,1,2,0,0,2
eiscj001,0,0,0,0,1
barfj001,38,12,2,17,82
ripkb001,5,11,1,2,3
hermc001,10,3,0,1,19
greer002,0,0,0,0,2
greer001,85,21,2,13,67
zeilt001,83,23,3,14,81
haynj001,1,0,0,0,1
ruper001,0,0,0,0,1
marro001,2,1,1,1,3
charn001,5,1,0,0,10
durae001,35,4,2,11,45
mcmig001,2,0,0,0,4
dunnm001,0,0,0,0,2
burnj001,3,1,8,27,113
dozid001,7,2,0,0,20
lewir001,1,0,0,0,1
decks001,26,2,1,3,24
ritct001,7,1,0,0,1
johne001,2,2,0,0,4
martn001,31,7,4,2,28
barbb001,50,15,2,2,53
barbb002,1,0,0,0,2
westd001,2,1,0,1,4
coraj001,117,19,2,3,38
jonej002,7,1,0,0,11
jonej003,62,24,2,9,65
clayr001,106,29,3,5,111
roomr001,15,0,1,2,26
conij001,122,26,2,25,101
mosej001,38,1,1,1,7
escoj001,3,0,0,0,5
dehar001,0,0,0,0,2
goodc001,70,11,3,1,53
rusks001,0,1,1,0,1
wilsd002,29,2,0,2,30
vandj001,22,8,1,5,23
meadl001,3,0,0,0,6
nievm001,30,6,1,14,89
wittk001,1,1,0,1,3
burbd001,1,1,0,1,9
flord001,1,0,0,0,1
benjm001,39,6,1,3,51
castj004,1,3,1,2,1
castj003,1,0,0,0,1
erics001,0,0,0,0,2
mohod001,1,0,0,0,2
wilse001,5,6,1,2,2
embra001,0,0,0,0,1
riveb001,5,0,0,0,5
veraq001,86,20,7,5,68
newhd001,3,1,0,2,11
andek001,36,6,1,1,20
britt001,35,5,1,2,40
fickr001,6,1,0,3,7
osikk001,19,9,1,2,22
hernj001,34,11,4,13,72
stepp001,2,10,1,4,3
woodk002,5,0,0,2,16
blacb001,10,3,0,0,20
moort001,3,1,0,0,3
franm002,9,0,0,2,10
franm003,15,6,0,0,12
spars001,0,1,0,0,1
baerc001,152,28,2,15,38
gomel001,23,5,2,4,23
suppj001,6,0,0,0,1
breas001,53,12,1,11,40
bradd001,4,1,0,0,4
tablp001,39,5,1,1,23
guevg001,1,2,0,0,2
deltm001,0,0,0,0,3
salam001,3,1,0,1,10
perrh001,36,13,1,3,28
howid001,5,1,1,1,12
manub001,0,0,0,0,1
gomep001,0,0,0,0,1
belta001,29,9,5,7,41
brumm001,1,5,4,1,6
shuma001,1,0,0,0,3
almaa001,0,0,0,0,2
sax-s001,167,39,2,10,47
ramoe001,0,0,0,0,2
portm001,3,5,1,1,13
sheel001,1,1,2,10,1
kasht001,0,0,0,0,1
singc001,103,31,6,17,48
washj001,0,0,0,0,1
dellj001,3,0,0,0,13
bowim001,4,0,0,0,3
glavt001,12,1,1,1,15
aloms001,45,6,2,10,28
larkb001,138,30,6,15,61
davir002,19,5,2,2,26
sears001,0,0,0,0,3
serad001,1,0,0,0,1
hallm001,107,24,2,19,43
doteo001,3,0,0,0,17
willg001,20,18,2,6,35
willg002,14,5,1,3,22
gracm001,125,51,3,16,51
gracm002,1,1,0,0,2
wills002,0,0,0,0,6
tanaf001,7,1,1,0,1
mimbm001,4,1,0,0,12
carlb001,2,0,0,0,4
delur001,2,0,0,0,3
strad002,32,9,2,2,27
strad001,16,4,1,3,22
mondr002,107,23,6,26,100
herso001,7,2,0,0,8
candt001,6,1,0,0,16
eenhr001,1,1,0,1,4
hermd001,3,1,0,1,24
sprae001,86,27,2,18,97
raint001,129,25,4,12,54
medir001,1,0,0,0,6
luebl001,2,1,0,0,2
fasas001,5,2,0,1,12
adamt001,0,0,0,0,1
rijoj001,2,1,0,1,4
peltd001,13,2,1,1,9
murpd001,98,33,1,18,95
guzmj003,5,0,0,0,14
sodes001,0,0,0,0,3
mallm001,4,1,0,1,2
colea001,24,3,2,1,17
sands002,7,1,0,0,3
sands001,0,0,0,0,11
lee-c001,101,32,2,16,74
smitd006,2,0,0,0,15
batim001,1,1,0,1,5
seguf001,8,4,0,2,15
maddm002,1,0,0,0,4
dejej001,8,1,0,0,39
wardd002,1,6,0,8,2
thomm002,5,1,0,1,8
thomm001,20,9,5,2,37
newsw001,37,3,2,5,45
wehnj001,31,7,3,1,17
widgc001,8,20,3,1,11
eisej001,89,22,2,10,45
ordor001,72,5,3,1,38
milte001,4,0,0,0,4
grotj001,8,1,0,1,9
thoma001,49,8,0,5,44
mitcl001,0,0,0,0,1
sagea001,0,0,1,0,1
hatcc001,1,0,0,0,7
maksm001,6,2,0,0,5
wettj001,1,1,0,1,1
vanpt001,2,1,0,0,4
folet001,4,2,1,3,4
weatd001,5,0,0,1,17
persr001,2,1,0,0,1
batth001,3,0,0,1,8
saunt001,2,0,0,1,19
gardw001,0,0,0,0,2
rivel001,82,22,3,8,92
hursb001,9,1,0,0,23
parem001,36,12,0,18,71
sprid001,2,1,0,0,3
browk002,0,0,0,0,1
acevj001,1,1,0,0,6
garcn001,133,44,11,30,95
heref001,1,0,0,0,1
reicd001,1,0,0,0,2
duram001,14,3,0,0,15
jeffg001,116,33,2,11,28
schur001,2,8,0,6,7
mantm001,1,0,0,0,1
cummj001,0,0,0,0,1
martj002,0,0,0,0,1
bushr001,35,10,1,6,30
incap001,52,12,1,11,95
hrbek001,101,20,1,20,51
cox-d002,5,1,0,1,5
cox-d001,3,0,0,0,16
mints001,1,0,0,0,3
jeffs001,1,8,0,2,3
polig001,1,1,0,0,2
penaa002,3,6,0,4,7
stanr001,1,1,0,0,3
moehb001,0,0,0,0,2
sancj001,6,0,1,0,15
belld001,137,22,2,8,74
luecr001,0,1,0,0,1
mcint001,2,1,0,1,4
evant001,8,2,0,1,10
scrut001,0,0,0,0,1
redfj001,3,0,0,0,1
nolte001,1,0,0,0,6
ariaa001,51,10,2,3,22
fox-a001,6,1,6,9,10
mcdoj003,7,0,0,0,3
mcdoj002,46,11,4,4,50
alvag001,35,12,0,5,66
cronc001,3,0,0,0,5
ordal001,6,1,0,0,2
gantr001,87,19,4,29,114
duncm001,57,14,2,6,63
cummm001,29,7,1,2,30
roseb001,13,5,1,1,13
davic002,3,0,0,0,4
davic001,95,23,1,20,81
ortil001,17,5,2,1,18
staim001,15,8,1,1,14
osbod001,2,3,1,1,15
ojedb001,8,1,1,1,11
danep001,0,0,0,0,1
fitzm001,33,5,2,4,37
clonb001,0,0,0,0,1
lintd001,0,0,0,0,3
linic001,5,2,0,0,5
echea001,3,2,0,1,5
